Datetime,TOC_R
2021-01-03,nan
2021-01-13,nan
2021-01-24,nan
2021-02-03,nan
2021-02-13,nan
2021-02-21,nan
2021-02-22,nan
2021-03-03,0.013896254420260105
2021-03-03,0.06180112514253434
2021-03-13,0.06915890063069594
2021-03-13,0.06561760550666623
2021-03-24,0.08383683116117109
2021-04-03,0.09948212086533723
2021-04-13,0.09427463684562881
2021-04-23,0.09011615589457735
2021-05-03,0.07502969168534918
2021-05-13,0.0796191406213928
2021-05-24,0.0861778809346547
2021-06-03,0.08891749416348232
2021-06-13,0.10019678006043248
2021-06-23,0.08868735486337967
2021-07-03,0.08544393892570425
2021-07-13,0.09327588363098695
2021-07-24,0.08978498995014612
2021-08-03,0.08710035847917039
2021-08-13,0.08879347730752654
2021-08-24,0.08550428951667716
2021-09-03,0.07733856868339467
2021-09-13,0.0707116073821072
2021-09-23,0.04940546827612664
2021-10-03,0.0744600587337037
2021-10-13,0.12023541791372877
2021-10-24,0.20291972241756873
2021-11-03,nan
2021-11-13,0.03627265656236556
2021-11-23,nan
2021-12-03,nan
2021-12-13,nan
2021-12-24,nan
